match_id,event_slug,market_title,token_w1,token_draw,token_w2,kickoff,resolved_at
H-md3-Cape_Verde-vs-Saudi_Arabia,fifwc-cvi-ksa-2026-06-26,Cabo Verde vs. Saudi Arabia,102982370594795926465551165513338503688720151395360838811850524398055739613847,26569990508696410491447892272390543392383885606267392357555942494960533615950,13230917211575471424029299482277772949555090343730463577580317503550035691955,2026-06-27 00:00:00+00,2026-06-13T03:49:56+00:00
H-md3-Uruguay-vs-Spain,fifwc-ury-esp-2026-06-26,Uruguay vs. Spain,19006898597508386281847912902191120242282582317334085817745325501448261696961,31752155862447409149067389255977203243895111018202743434902043543164266789354,21212784061998732060753310583727616688784929823373352237868078199791664491531,2026-06-27 00:00:00+00,2026-06-13T03:49:56+00:00
I-md1-France-vs-Senegal,fifwc-fra-sen-2026-06-16,France vs. Senegal,10541943766977992250149902475024620982770128161688998706490955791758263657916,1558773458881829509791065143596154799682035256543521797575065685839455307034,68110647781535190797837703927589470479832774174814667833732459898847586979826,2026-06-16 19:00:00+00,2026-06-13T03:49:56+00:00
I-md1-Iraq-vs-Norway,fifwc-irq-nor-2026-06-16,Iraq vs. Norway,73942127055672070093762091576846712862472894975200730653926386031270714825841,33611416347839198763745720789541666193855030736143138228415524192683636379208,60561627760165737508115128719081450929284195423420376549887420810076954490283,2026-06-16 22:00:00+00,2026-06-13T03:49:56+00:00
I-md2-France-vs-Iraq,fifwc-fra-irq-2026-06-22,France vs. Iraq,33487993003158194673584478096137518804695909934938955095498705571367038286718,39089612180122602052604481401475144070730204978096939222616905288374331154272,76510222428165877597575721449543571541796482738486080354541430902498097062984,2026-06-22 21:00:00+00,2026-06-13T03:49:56+00:00
I-md2-Norway-vs-Senegal,fifwc-nor-sen-2026-06-22,Norway vs. Senegal,87342664839192211473271920800753463563092786516324349723605782526214890691197,12958252976539629930654162912931008487270492230310027375150666031145896793768,41610575626461486529455331665861057346399083513953711754678027926024708412903,2026-06-23 00:00:00+00,2026-06-13T03:49:56+00:00
I-md3-Norway-vs-France,fifwc-nor-fra-2026-06-26,Norway vs. France,13720141007204726132976932163658350553917819242912487119786312240512385978016,67725404666433555568518066011245937746455974844800713635030484522525394449095,24577773509300358817327680170546846259151744300648018180120742538153285610470,2026-06-26 19:00:00+00,2026-06-13T03:49:56+00:00
I-md3-Senegal-vs-Iraq,fifwc-sen-irq-2026-06-26,Senegal vs. Iraq,18743217884084451181326534803259386349719190738348996062011676818990905009388,33076998160231714351902565130026409459762688445353107036154768256214120659381,42446028394641227058711863003994762636042573921212384468888917154482444605317,2026-06-26 19:00:00+00,2026-06-13T03:49:56+00:00
J-md1-Argentina-vs-Algeria,fifwc-arg-alg-2026-06-16,Argentina vs. Algeria,7496871387824498705150337097986995704782987980926026827618928384721521953608,72072713045468216718276752473321256680046799783934448189111366264812474363575,83723975923165835008525905491690092591784814181150430498971361513206559812229,2026-06-17 01:00:00+00,2026-06-13T03:49:56+00:00
J-md1-Austria-vs-Jordan,fifwc-aut-jor-2026-06-17,Austria vs. Jordan,20499437472769847560241881624039508074540415562884114297532631910880371793587,10941081591300181699750371173224077143006238150019210682727492628846716482576,10127485596146788190022715162162490005929142831190335412854285290235849822876,2026-06-17 04:00:00+00,2026-06-13T03:49:56+00:00
